Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
E 250 BlueTEC 4MATIC 7G-TRONIC PLUS (212),4,150  (204),VI,52658,,,,,19850,17700,15800,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 102 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Mercedes-Benz,,,,,,,,,,,,,,
E 300 BlueTEC 7G-TRONIC PLUS (212),4,170  (231),,VI,52479,,,,,20100,17400,15600,,
E 350 BlueTEC 4MATIC 7G-TRONIC PLUS (212),4,190  (258),,VI,61166,,,,,22600,20050,17900,,
E 350 BlueTEC 9G-TRONIC (212),4,190  (258),,VI,55216,,,,,20950,18500,16450,,
E 200 Natural Gas Drive 7G-TRONIC PLUS  (212),4,115,-156,V,48314,,,,,22450,19850,17550,,
E 300 BlueTEC HYBRID 7G-TRONIC PLUS (212),4,170  (231),,VI,52687,,,,,,16750,15300,,
E 200 T-Modell  (212),5,135  (184),,V,45637,,,,,21600,19950,17850,,
E 250 T-Modell 7G-TRONIC PLUS (212),5,155  (211),,V,50694,,,,,24750,21900,19500,,
E 400 T-Modell 4MATIC 7G-TRONIC PLUS (212),5,245  (333),,V,62832,,,,,30500,27600,25250,,
E 400 T-Modell 7G-TRONIC PLUS (212),5,245  (333),,V,60095,,,,,28350,25650,23450,,
E 63 AMG T-Modell 4MATIC SPEEDSHIFT MCT 7G-,5,410  (557),,V,110254,,,,,45800,41450,38800,,
TRONIC (212),,,,,,,,,,,,,,
E 63 AMG S T-Modell 4MATIC SPEEDSHIFT MCT 7G-,5,430  (585),,V,121678,,,,,50550,45300,41850,,
TRONIC (212),,,,,,,,,,,,,,
E 200 BlueTEC T-Modell  (212),5,100  (136),,VI,44625,,,,,16550,15850,14500,,
E 220 BlueTEC BlueEFFICIENCY Edition T-Modell 9G-,5,125  (170),,VI,50159,,,,,20200,18650,16550,,
TRONIC (212),,,,,,,,,,,,,,
E 220 BlueTEC T-Modell  (212),5,125  (170),,VI,47600,,,,,19100,17600,15650,,
E 220 BlueTEC T-Modell 4MATIC 7G-TRONIC (212),5,125  (170),,VI,52896,,,,,22100,20350,,,
E 250 BlueTEC T-Modell  (212),5,150  (204),,VI,50635,,,,,18650,16550,14700,,
E 250 BlueTEC T-Modell 4MATIC 7G-TRONIC PLUS,5,150  (204),,VI,55871,,,,,20850,18500,16400,,
-212,,,,,,,,,,,,,,
E 300 BlueTEC T-Modell 7G-TRONIC PLUS (212),5,170  (231),,VI,55692,,,,,21000,18200,16200,,
E 350 BlueTEC T-Modell 9G-TRONIC (212),5,190  (258),,VI,58429,,,,,21850,19400,17350,,
E 300 BlueTEC HYBRID T-Modell 7G-TRONIC PLUS,5,170  (231),,VI,55900,,,,,,17750,16050,,
-212,,,,,,,,,,,,,,
E 200  (213),4,135  (184),,V,43019,,,25350,23850,21900,,,,
E 200 4MATIC 9G-TRONIC (213),4,135  (184),,V,48314,,,28500,26800,24650,,,,
E 200 4MATIC 9G-TRONIC (213),4,155  (211),,V,48401,36650,33050,,,,,,,
E 200 9G-TRONIC (213),4,155  (211),,V,45733,34600,31250,,,,,,,
E 250 9G-TRONIC (213),4,155  (211),,V,48136,,,28650,27100,25000,,,,
E 200 Avantgarde 4MATIC 9G-TRONIC (213),4,155  (211),,V,53491,40550,,,,,,,,
E 200 Avantgarde 9G-TRONIC (213),4,155  (211),,V,50754,38600,,,,,,,,
E 300 9G-TRONIC (213),4,180  (245),,V,52896,,,32050,30050,26500,,,,
E 300 Avantgarde 9G-TRONIC (213),4,200  (272),,V,57661,45600,,,,,,,,
E 400 4MATIC 9G-TRONIC (213),4,245  (333),,V,62963,,,36650,34400,31650,,,,
E 450 Avantgarde 4MATIC 9G-TRONIC (213),4,286  (389),,V,67402,52050,,,,,,,,
E 43 AMG 4MATIC 9G-TRONIC (213),4,295  (401),,V,75387,,,47650,44300,40400,,,,
E 53 AMG 4MATIC+ SPEEDSHIFT TCT 9G (213),4,336  (457),,V,79048,58250,54000,48950,,,,,,
E 53 AMG 4MATIC+ SPEEDSHIFT TCT 9G (213),4,336  (457),,V,85531,63600,,,,,,,,
E 63 AMG 4MATIC+ SPEEDSHIFT MCT (213),4,420  (571),,V,110111,,,64500,60650,,,,,
E 63 AMG S 4MATIC+ SPEEDSHIFT MCT (213),4,450  (612),,V,122427,,,75200,68850,,,,,
E 63 S AMG 4MATIC+ SPEEDSHIFT MCT 9G (213),4,450  (612),,V,129246,104900,,,,,,,,
E 200 d 9G-TRONIC (213),4,110  (150),,VI,44566,,,25900,24100,21950,,,,
E 200 d 9G-TRONIC (213),4,118  (160),,VI,44950,32250,29300,,,,,,,
E 200 d Avantgarde 9G-TRONIC (213),4,118  (160),,VI,50605,36950,,,,,,,,
E 220 d 4MATIC 9G-TRONIC (213),4,143  (194),,VI,50075,,,29800,27900,25750,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 103 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
,Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,
,Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,
,Mercedes-Benz,,,,,,,,,,,,,
E,220 d 9G-TRONIC (213),4,143  (194),,VI,47338,,,27850,26000,24050,,,
E,220 d Avantgarde 4MATIC 9G-TRONIC (213),4,143  (194),,VI,54597,40400,,,,,,,
E,220 d Avantgarde 9G-TRONIC (213),4,143  (194),,VI,51860,38650,,,,,,,
E,300 d 9G-TRONIC (213),4,180  (245),,VI,51492,37000,34700,31500,,,,,
E,350 d 4MATIC 9G-TRONIC (213),4,190  (258),,VI,58613,,,34850,32500,,,,
E,350 d 9G-TRONIC (213),4,190  (258),,VI,55876,,,32700,30500,27650,,,
E,350 d 9G-TRONIC (213),4,210  (286),,VI,55048,42800,38800,35100,,,,,
E,400 d Avantgarde 4MATIC 9G-TRONIC (213),4,243  (330),,VI,68133,49900,,,,,,,
E,400 d 4MATIC 9G-TRONIC (213),4,250  (340),,VI,62356,46700,41050,38100,,,,,
E,350 e 9G-TRONIC (213),4,220  (299),,V,59441,,,31250,29450,28100,,,
E,300 de 9G-TRONIC (213),4,225,-306,VI,54236,38650,34200,31800,,,,,
E,300 de Avantgarde 4MATIC 9G-TRONIC (213),4,225,-306,VI,62100,45450,,,,,,,
E,300 de Avantgarde 9G-TRONIC (213),4,225,-306,VI,59363,42750,,,,,,,
E,300 e Avantgarde 4MATIC 9G-TRONIC (213),4,235  (320),,V,60375,44300,,,,,,,
E,300 e Avantgarde 9G-TRONIC (213),4,235  (320),,V,57638,42200,,,,,,,
E,200 T-Modell 4MATIC 9G-TRONIC (213),5,135  (184),,V,51640,,,29400,27700,,,,
E,200 T-Modell 9G-TRONIC (213),5,135  (184),,V,48903,,,27850,26200,24300,,,
E,200 All-Terrain 4MATIC 9G-TRONIC (213),5,155  (211),,V,62029,42850,,,,,,,
E,200 T-Modell 4MATIC 9G-TRONIC (213),5,155  (211),,V,51701,37000,33250,,,,,,
E,200 T-Modell 9G-TRONIC (213),5,155  (211),,V,49033,35050,31500,,,,,,
E,250 T-Modell 9G-TRONIC (213),5,155  (211),,V,50926,,,29100,27500,25600,,,
E,200 T-Modell Avantgarde 4MATIC 9G-TRONIC (213),5,155  (211),,V,56971,40250,,,,,,,
E,200 T-Modell Avantgarde 9G-TRONIC (213),5,155  (211),,V,54234,38450,,,,,,,
E,300 T-Modell Avantgarde 9G-TRONIC (213),5,200  (272),,V,59863,43350,,,,,,,
E,400 T-Modell 4MATIC 9G-TRONIC (213),5,245  (333),,V,65753,,,37700,35050,32000,,,
E,450 All-Terrain 4MATIC 9G-TRONIC (213),5,286  (389),,V,74571,57250,,,,,,,
E,450 T-Modell Avantgarde 4MATIC 9G-TRONIC (213),5,286  (389),,V,70287,52450,,,,,,,
E,43 AMG T-Modell 4MATIC 9G-TRONIC (213),5,295  (401),,V,78177,,,46900,43600,39650,,,
E,53 AMG T-Modell 4MATIC+ SPEEDSHIFT TCT 9G,5,336  (457),,V,81768,62500,55950,50850,,,,,
-213,,,,,,,,,,,,,,
,E 53 AMG T-Modell 4MATIC+ SPEEDSHIFT TCT 9G,5,336  (457),,V,88417,66800,,,,,,,
-213,,,,,,,,,,,,,,
,E 63 AMG T-Modell 4MATIC+ SPEEDSHIFT MCT (213),5,420  (571),,V,112907,,,64250,59250,,,,
,E 63 AMG S T-Modell 4MATIC+ SPEEDSHIFT MCT (213),5,450  (612),,V,125224,,,73100,66900,,,,
,E 63 S AMG T-Modell 4MATIC+ SPEEDSHIFT MCT 9G,5,450  (612),,V,132138,105650,,,,,,,
-213,,,,,,,,,,,,,,
,E 200 d T-Modell 9G-TRONIC (213),5,110  (150),,VI,47951,,,26300,24950,22700,,,
,E 200 d T-Modell 9G-TRONIC (213),5,118  (160),,VI,48250,31800,28850,,,,,,
,E 200 d T-Modell Avantgarde 9G-TRONIC (213),5,118  (160),,VI,53491,35850,,,,,,,
,E 220 d All-Terrain 4MATIC 9G-TRONIC (213),5,143  (194),,VI,58102,,,32200,29500,,,,
,E 220 d All-Terrain 4MATIC 9G-TRONIC (213),5,143  (194),,VI,62302,43150,,,,,,,
,E 220 d T-Modell 4MATIC 9G-TRONIC (213),5,143  (194),,VI,53461,,,30200,27800,,,,
,E 220 d T-Modell 9G-TRONIC (213),5,143  (194),,VI,50724,,,28250,26000,24050,,,
,E 220 d T-Modell Avantgarde 4MATIC 9G-TRONIC,5,143  (194),,VI,57840,41000,,,,,,,
-213,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 104 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Mercedes-Benz,,,,,,,,,,,,,,
E 220 d T-Modell Avantgarde 9G-TRONIC (213),5,143  (194),VI,55103,39150,,,,,,,,,
E 300 d T-Modell 9G-TRONIC (213),5,180  (245),VI,54213,37350,33050,32100,,,,,,,
E 350 d All-Terrain 4MATIC 9G-TRONIC (213),5,190  (258),VI,65450,,,36650,33100,,,,,,
E 350 d T-Modell 4MATIC 9G-TRONIC (213),5,190  (258),VI,61404,,,35000,32100,,,,,,
E 350 d T-Modell 9G-TRONIC (213),5,190  (258),VI,58667,,,32950,30200,27250,,,,,
E 350 d T-Modell 9G-TRONIC (213),5,210  (286),VI,57768,41550,37800,34450,,,,,,,
E 400 d All-Terrain 4MATIC 9G-TRONIC (213),5,243  (330),VI,75006,55350,,,,,,,,,
E 400 d T-Modell Avantgarde 4MATIC 9G-TRONIC,5,243  (330),VI,71019,50400,,,,,,,,,
-213,,,,,,,,,,,,,,
E 400 d All-Terrain 4MATIC 9G-TRONIC (213),5,250  (340),VI,69020,52750,45100,38800,,,,,,,
E 400 d T-Modell 4MATIC 9G-TRONIC (213),5,250  (340),VI,65076,47850,42750,39050,,,,,,,
E 300 de T-Modell 9G-TRONIC (213),5,225  (306),VI,58429,38650,35850,31100,,,,,,,
E 300 de T-Modell Avantgarde 4MATIC 9G-TRONIC,5,225  (306),VI,64986,45250,,,,,,,,,
-213,,,,,,,,,,,,,,
E 300 de T-Modell Avantgarde 9G-TRONIC (213),5,225  (306),VI,62249,42650,,,,,,,,,
E 300 e T-Modell Avantgarde 9G-TRONIC (213),5,235  (320),V,60523,44100,,,,,,,,,
E 200 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,135  (184),V,51670,,,32100,29900,,,,,,
E 200 Coupé Avantgarde 9G-TRONIC (238),3,135  (184),V,48933,,,30400,26850,25000,,,,,
E 200 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,155  (211),V,50744,40650,36200,,,,,,,,
E 200 Coupé Avantgarde 9G-TRONIC (238),3,155  (211),V,48076,39100,34800,,,,,,,,
E 200 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,155  (211),V,58512,45100,,,,,,,,,
E 200 Coupé Avantgarde 9G-TRONIC (238),3,155  (211),V,55775,42800,,,,,,,,,
E 300 Coupé Avantgarde 9G-TRONIC (238),3,180  (245),V,54740,,,34800,32500,30400,,,,,
E 300 Coupé Avantgarde 9G-TRONIC (238),3,200  (272),V,54375,44650,39800,,,,,,,,
E 300 Coupé Avantgarde 9G-TRONIC (238),3,200  (272),V,62356,47050,,,,,,,,,
E 350 Coupé Avantgarde 9G-TRONIC (238),3,230  (313),V,58464,47100,41950,38100,,,,,,,
E 350 EQ Boost Coupé Avantgarde 9G-TRONIC (238),3,230  (313),V,59917,,,37850,34800,,,,,,
E 400 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,245  (333),V,64807,,,42450,39450,36500,,,,,
E 450 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,270  (367),V,63725,52000,46350,42300,,,,,,,
E 450 Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,286  (389),V,72156,56400,,,,,,,,,
E 53 AMG Coupé 4MATIC+ SPEEDSHIFT TCT 9G-,3,336  (457),V,80492,68600,61100,55300,,,,,,,
TRONIC (238),,,,,,,,,,,,,,
E 53 AMG Coupé 4MATIC+ SPEEDSHIFT TCT 9G-,3,336  (457),V,88221,73850,,,,,,,,,
TRONIC (238),,,,,,,,,,,,,,
E 220 d Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,143  (194),VI,53312,,,33350,31100,,,,,,
E 220 d Coupé Avantgarde 9G-TRONIC (238),3,143  (194),VI,50575,,,31600,29500,26900,,,,,
E 220 d Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,143  (194),VI,60244,44100,,,,,,,,,
E 220 d Coupé Avantgarde 9G-TRONIC (238),3,143  (194),VI,57507,41950,,,,,,,,,
E 300 d Coupé Avantgarde 9G-TRONIC (238),3,180  (245),VI,53325,43250,38500,34600,,,,,,,
E 350 d Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,190  (258),VI,61493,,,38850,35250,,,,,,
E 350 d Coupé Avantgarde 9G-TRONIC (238),3,210  (286),VI,56898,48950,43600,39400,,,,,,,
E 400 d Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,243  (330),VI,71727,55550,,,,,,,,,
E 400 d Coupé Avantgarde 4MATIC 9G-TRONIC (238),3,250  (340),VI,64206,55400,49300,42800,,,,,,,
E 200 Cabriolet Avantgarde 4MATIC 9G-TRONIC (238),2,135  (184),V,57144,,,34000,31900,,,,,,
E 200 Cabriolet Avantgarde 9G-TRONIC (238),2,135  (184),V,54407,,,32400,30350,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 105 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Mercedes-Benz,,,,,,,,,,,,,,
E 200 Cabriolet Avantgarde 4MATIC 9G-TRONIC (238),2,155  (211),V,64058,46850,,,,,,,,,
E 200 Cabriolet Avantgarde 9G-TRONIC (238),2,155  (211),V,61321,45200,,,,,,,,,
E 300 Cabriolet Avantgarde 9G-TRONIC (238),2,180  (245),V,60214,,,37100,34550,,,,,,
E 300 Cabriolet Avantgarde 9G-TRONIC (238),2,200  (272),V,59711,49250,43900,,,,,,,,
E 300 Cabriolet Avantgarde 9G-TRONIC (238),2,200  (272),V,67901,51100,,,,,,,,,
E 350 Cabriolet Avantgarde 9G-TRONIC (238),2,230  (313),V,63800,52550,46850,40500,,,,,,,
E 350 EQ Boost Cabriolet Avantgarde 9G-TRONIC,2,230  (313),V,65391,,,40250,37300,,,,,,
-238,,,,,,,,,,,,,,
E 400 Cabriolet Avantgarde 4MATIC 9G-TRONIC (238),2,245  (333),V,70281,,,45550,42350,,,,,,
E 450 Cabriolet Avantgarde 4MATIC 9G-TRONIC (238),2,270  (367),V,69061,57250,51000,44850,,,,,,,
E 450 Cabriolet Avantgarde 4MATIC 9G-TRONIC (238),2,286  (389),V,77701,59600,,,,,,,,,
E 53 AMG Cabriolet 4MATIC+ SPEEDSHIFT TCT 9G-,2,336  (457),V,85828,74200,66100,59750,,,,,,,
TRONIC (238),,,,,,,,,,,,,,
E 53 AMG Cabriolet 4MATIC+ SPEEDSHIFT TCT (238),2,336  (457),V,93766,77650,,,,,,,,,
E 220 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,2,143  (194),VI,58786,,,36400,33950,,,,,,
-238,,,,,,,,,,,,,,
E 220 d Cabriolet Avantgarde 9G-TRONIC (238),2,143  (194),VI,56049,,,34700,32350,,,,,,
E 220 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,2,143  (194),VI,62148,48450,,,,,,,,,
-238,,,,,,,,,,,,,,
E 220 d Cabriolet Avantgarde 9G-TRONIC (238),2,143  (194),VI,63052,46300,,,,,,,,,
E 300 d Cabriolet Avantgarde 9G-TRONIC (238),2,180  (245),VI,58661,47450,42200,37750,,,,,,,
E 350 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,2,190  (258),VI,66967,,,42300,38350,,,,,,
-238,,,,,,,,,,,,,,
E 350 d Cabriolet Avantgarde 9G-TRONIC (238),2,210  (286),VI,62234,53100,47250,42950,,,,,,,
E 400 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,2,243  (330),VI,77273,61950,,,,,,,,,
-238,,,,,,,,,,,,,,
E 400 d Cabriolet Avantgarde 4MATIC 9G-TRONIC,2,250  (340),VI,69542,58950,52450,46200,,,,,,,
-238,,,,,,,,,,,,,,
EQC 400 4MATIC (293),5,300  (408),IV,71281,53600,49300,,,,,,,,
EQV 300 extralang (90 kWh)  (477),5,150  (204),IV,72281,51450,,,,,,,,,
EQV 300 lang (90 kWh)  (477),5,150  (204),IV,71388,50850,,,,,,,,,
G 500 Station-Wagen lang 7G-TRONIC (463),5,285  (387),V,102060,,,,,,51150,46700,,,
G 500 4x4² Station-Wagen lang 7G-TRONIC PLUS,5,310  (422),V,231693,,,167500,148300,134400,120050,,,,
-463,,,,,,,,,,,,,,
G 500 Station-Wagen lang 7G-TRONIC PLUS (463),5,310  (422),V,106701,,,76250,66150,61250,54800,,,,
G 500 Station-Wagen lang 9G-TRONIC (463),5,310  (422),V,107041,,,91050,,,,,,,
G 63 AMG Station-Wagen lang SPEEDSHIFT PLUS 7G-,5,400  (544),V,139766,,,,,,66000,62000,,,
TRONIC (463),,,,,,,,,,,,,,
G 63 AMG Station-Wagen lang SPEEDSHIFT PLUS 7G-,5,420  (571),V,145359,,,88550,82300,73300,66500,,,,
TRONIC (463),,,,,,,,,,,,,,
G 63 AMG Station-Wagen lang SPEEDSHIFT PLUS 9G-,5,430  (585),V,148874,149950,140200,121600,,,,,,,
TRONIC (463),,,,,,,,,,,,,,
G 65 AMG Station-Wagen lang SPEEDSHIFT PLUS 7G-,5,450  (612),V,268345,,,,,,124850,107400,,,
TRONIC (463),,,,,,,,,,,,,,
G 65 AMG Station-Wagen lang SPEEDSHIFT PLUS 7G-,5,463  (630),V,275723,,,191150,162500,146000,128450,,,,
TRONIC (463),,,,,,,,,,,,,,
G 350 BlueTEC Station-Wagen lang 7G-TRONIC (463),5,155  (211),VI,87066,,,,,,41900,37900,,,
G 350 d Station-Wagen lang 7G-TRONIC PLUS (463),5,180  (245),VI,91410,,,68300,60000,53050,46600,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 106 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
,Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,
,Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,
,Mercedes-Benz,,,,,,,,,,,,,
,G 350 d Station-Wagen lang 9G-TRONIC (463),5,210  (286),,VI,94668,94900,86800,,,,,,
,G 400 d Station-Wagen lang 9G-TRONIC (463),5,243  (330),,VI,108088,104200,,,,,,,
,GLA 180  (156),5,90  (122),,III,27787,,,,16050,14550,12800,,
,GLA 180  (156),5,90  (122),,III,28941,,,18750,17050,,,,
,GLA 200  (156),5,115,-156,III,29750,,,,17800,16550,15050,13800,
,GLA 200  (156),5,115,-156,III,30821,,,20150,18850,,,,
,GLA 220 4MATIC 7G-DCT (156),5,135  (184),,III,37146,,,24500,22150,,,,
,GLA 250  (156),5,155  (211),,III,33594,,,,20000,18550,16900,15850,
,GLA 250 4MATIC 7G-DCT (156),5,155  (211),,III,37985,,,,22600,20900,19050,16750,
,GLA 250  (156),5,155  (211),,III,34665,,,22000,20400,,,,
,GLA 250 4MATIC 7G-DCT (156),5,155  (211),,III,38961,,,24750,22950,,,,
,GLA 45 AMG 4MATIC SPEEDSHIFT DCT 7G-TRONIC,5,265  (360),,III,56168,,,,,,27500,25350,
-156,,,,,,,,,,,,,,
,GLA 45 AMG 4MATIC SPEEDSHIFT DCT 7G-TRONIC,5,280  (381),,III,56347,,,,32150,29700,27500,,
-156,,,,,,,,,,,,,,
,GLA 45 AMG 4MATIC SPEEDSHIFT DCT 7G-TRONIC,5,280  (381),,III,56852,,,33900,31400,,,,
-156,,,,,,,,,,,,,,
GLA,180 CDI  (156),5,80  (109),,IV,30732,,,,,,13950,11850,
GLA,180 d SCORE! (156),5,80  (109),,IV,33737,,,,18100,16600,,,
GLA,180 d  (156),5,80  (109),,IV,31952,,,18900,17450,,,,
GLA,200 CDI  (156),5,100  (136),,IV,32428,,,,,,14500,12600,
GLA,200 CDI 4MATIC 7G-DCT (156),5,100  (136),,IV,36807,,,,,,16450,14300,
GLA,200 d SCORE! (156),5,100  (136),,IV,35432,,,,19550,17550,,,
GLA,200 d SCORE! 4MATIC 7G-DCT (156),5,100  (136),,IV,39823,,,,21850,19600,,,
GLA,200 d  (156),5,100  (136),,IV,36658,,23000,20550,18700,,,,
GLA,200 d 4MATIC 7G-DCT (156),5,100  (136),,IV,38871,,25900,23150,21100,,,,
GLA,220 CDI 4MATIC 7G-DCT (156),5,125  (170),,IV,45559,,,,,,20550,18600,
GLA,220 CDI 7G-DCT (156),5,125  (170),,IV,37336,,,,,,16800,15200,
GLA,220 d 4MATIC 7G-DCT (156),5,125  (170),,IV,41602,,26350,24500,,,,,
GLA,220 d 7G-DCT (156),5,125  (170),,IV,39389,,24950,23200,,,,,
GLA,220 d 4MATIC 7G-DCT (156),5,130  (177),,IV,39710,,,,19800,18900,17450,,
GLA,220 d 7G-DCT (156),5,130  (177),,IV,37497,,,,18750,17850,16500,,
GLA,220 d 4MATIC 7G-DCT (156),5,130  (177),,IV,40686,,,22500,20500,,,,
GLA,220 d 7G-DCT (156),5,130  (177),,IV,38473,,,21250,19400,,,,
GLA,180 7G-DCT (247),5,100  (136),,III,37812,31300,,,,,,,
GLA,200 4MATIC 8G-DCT (247),5,120  (163),,IV,43703,37450,,,,,,,
GLA,200 7G-DCT (247),5,120  (163),,III,39597,32650,,,,,,,
GLA,250 4MATIC 8G-DCT (247),5,165  (224),,III,46886,38800,,,,,,,
GLA,250 8G-DCT (247),5,165  (224),,III,44673,36900,,,,,,,
GLA,35 AMG 4MATIC SPEEDSHIFT DCT 8G (247),5,225,-306,III,57227,47050,,,,,,,
GLA,45 AMG 4MATIC+ SPEEDSHIFT DCT 8G (247),5,285  (387),,III,66331,54500,,,,,,,
GLA,45 S AMG 4MATIC+ SPEEDSHIFT DCT 8G (247),5,310  (421),,III,71924,59350,,,,,,,
GLA,180 d 8G-DCT (247),5,85  (116),,IV,39383,32100,,,,,,,
GLA,200 d 4MATIC 8G-DCT (247),5,110  (150),,IV,43322,35250,,,,,,,
GLA,200 d 8G-DCT (247),5,110  (150),,IV,41109,33350,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 107 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
,Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,
,Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,
,Mercedes-Benz,,,,,,,,,,,,,
,GLA 220 d 4MATIC 8G-DCT (247),5,140  (190),,IV,46571,37900,,,,,,,
,GLA 220 d 8G-DCT (247),5,140  (190),,IV,44357,36050,,,,,,,
,GLA 250 e 8G-DCT (247),5,160  (218),,III,46184,35450,,,,,,,
GLB,180 7G-DCT (247),5,100  (136),,IV,39585,33600,,,,,,,
GLB,200 7G-DCT (247),5,120  (163),,IV,41370,35550,32050,,,,,,
GLB,250 4MATIC 8G-DCT (247),5,165  (224),,IV,48659,40800,36800,,,,,,
GLB,250 8G-DCT (247),5,165  (224),,IV,46446,39100,35300,,,,,,
GLB,35 AMG 4MATIC SPEEDSHIFT DCT 8G (247),5,225,-306,IV,59000,54150,48850,,,,,,
GLB,180 d 8G-DCT (247),5,85  (116),,V,41156,33300,29850,,,,,,
GLB,200 d 4MATIC 8G-DCT (247),5,110  (150),,V,45095,36700,32900,,,,,,
GLB,200 d 8G-DCT (247),5,110  (150),,V,42882,35050,31400,,,,,,
GLB,220 d 4MATIC 8G-DCT (247),5,140  (190),,V,48344,41400,37100,,,,,,
,GLC Coupé 250 4MATIC 9G-TRONIC (253),5,155  (211),,IV,50492,,,36400,34650,31050,,,
,GLC Coupé 200 4MATIC 9G-TRONIC (253),5,155  (211),,IV,50361,43500,39150,,,,,,
GLC,250 4MATIC 9G-TRONIC (253),5,155  (211),,IV,45791,,,32550,30600,28550,25200,,
GLC,200 4MATIC 9G-TRONIC (253),5,155  (211),,IV,45710,40750,37000,,,,,,
,GLC Coupé 300 4MATIC 9G-TRONIC (253),5,180  (245),,IV,55668,,,40300,36200,32450,,,
GLC,300 4MATIC 9G-TRONIC (253),5,180  (245),,IV,50224,,,34500,32150,28850,,,
,GLC Coupé 300 4MATIC 9G-TRONIC (253),5,200  (272),,IV,57611,50950,46750,,,,,,
GLC,300 4MATIC 9G-TRONIC (253),5,200  (272),,IV,52873,46300,42450,,,,,,
,GLC Coupé 43 AMG 4MATIC (253),5,270  (367),,IV,66997,,,47950,44350,39750,,,
